district,id,description,Longitude,Latitude
Puente de Vallecas,363,AV. DE LA ALBUFERA - SANTIAGO ALIO,-3.64516092489912,40.38952253845569
Puente de Vallecas,873,AV. DE LA ALBUFERA - AV. PABLO NERUDA,-3.64387477779557,40.38906349948083
Puente de Vallecas,651,AV. DE LA ALBUFERA - SAN CLAUDIO - P.P.,-3.64174046631829,40.38806443281052
Puente de Vallecas,1137,AV. DE LA  ALBUFERA - RAFAEL ALBERTI,-3.64038203781779,40.38749460409735
Puente de Vallecas,360,AV. DE LA ALBUFERA - FUENGIROLA,-3.63878384848224,40.38671296293598
Puente de Vallecas,1391,AV. DE LA  ALBUFERA 300 - P.P.,-3.63786718567706,40.3863353161442
Puente de Vallecas,1184,AV. DE LA ALBUFERA - M-40 OESTE,-3.63622337865759,40.38560552493905
Puente de Vallecas,1473,AV. DE LA  ALBUFERA - ADRA,-3.64985281517364,40.39117513884484
Moratalaz,1109,ARROYO FONTARRON - PIO FELIPE,-3.6464199405634,40.39896583064839
Puente de Vallecas,1436,PIO FELIPE 12 - COLEGIO TAJAMAR - P.P.,-3.64952298138818,40.3968982545153
Puente de Vallecas,1110,BENJAMIN PALENCIA - PIO FELIPE,-3.65164851107876,40.39546379099815
Puente de Vallecas,610,AV. PEÑA PRIETA - FRANCISCO IGLESIAS,-3.66765497818825,40.39944895583093
Puente de Vallecas,556,AV. PEÑA PRIETA - CNO. VALDERRIBAS,-3.66624220181915,40.40072714046111
Puente de Vallecas,1174,BENJAMIN PALENCIA - HUMANES,-3.64955299280876,40.39476067227916
Puente de Vallecas,1148,PIO FELIPE - BOMBEROS,-3.6528509320636,40.39451262680052
Puente de Vallecas,1085,PEÑA PRIETA 54 - P.P.,-3.66513641394066,40.40165362867139
Puente de Vallecas,2196,CAMINO VALDERRIBAS - JOSE PAULETE,-3.65581557779386,40.39425908842673
Retiro,2159,CERRO NEGRO - GANDIA,-3.67059554049818,40.39783410193757
Puente de Vallecas,2245,AV. RAFAEL ALBERTI - TORREMOLINOS - P.P.,-3.64214179002623,40.38521355325172
Puente de Vallecas,1511,EL BOSCO - RAMON PEREZ DE AYALA,-3.65178648339586,40.40199263186438
Puente de Vallecas,1512,EL BOSCO 14 - COLEGIO LOSTILOS - P.P.,-3.6498166114308,40.40024589700841
Puente de Vallecas,1538,CAMINO VALDERRIBAS - ENRIQUE VELASCO - P.P.,-3.65703363832064,40.39465458171584
Puente de Vallecas,1627,BENJAMIN PALENCIA - RAMON PEREZ DE AYALA,-3.65441887588422,40.39669537949986
Ciudad Lineal,1326,ALCALA - VIRGEN DE LA ALEGRIA,-3.65945468331154,40.43153831409601
Ciudad Lineal,350,ALCALA - FERNANDEZ LANSEROS,-3.65764326693404,40.43180003200164
Ciudad Lineal,229,ALCALA - ALCALDE LOPEZ CASERO,-3.65531985829788,40.4321376412666
