Longitude,Latitude,image,location
-3.75388390493238,40.3620757350818,https://informo.madrid.es/cameras/Camara10309.jpg?v=39983,PESETA - CARABANCHEL ALTO
-3.66421711572923,40.4838688702002,https://informo.madrid.es/cameras/Camara15302.jpg?v=39983,M-11 - CONDE MAYALDE
-3.66373168155164,40.4832996639864,https://informo.madrid.es/cameras/Camara15301.jpg?v=39983,M-11 - ARTURO SORIA
-3.71674428829043,40.4857739012734,https://informo.madrid.es/cameras/Camara08309.jpg?v=39983,VENTISQUERO DE LA CONDESA
-3.69289138703954,40.3516156532895,https://informo.madrid.es/cameras/Camara17301.jpg?v=39983,AV ANDALUCIA - ALCOCER
-3.66487905008187,40.5047727461688,https://informo.madrid.es/cameras/Camara08313.jpg?v=39983,PALAS DEL REY - VALCARLOS
-3.64964227959373,40.4946309486061,https://informo.madrid.es/cameras/Camara16316.jpg?v=39983,NICETO A. ZAMORA - EMILIO HERRERA
-3.76556743966716,40.3730556578857,https://informo.madrid.es/cameras/Camara10307.jpg?v=39983,AV AVIACION - JOAQUIN TURINA
-3.66596263436384,40.403651557445,https://informo.madrid.es/cameras/Camara13305.jpg?v=39983,M30 - PK09+350 D (A3)
-3.6551592978091,40.4107049430342,https://informo.madrid.es/cameras/Camara14303.jpg?v=39983,VINATEROS - MEDIA LEGUA
-3.60967908068689,40.3685723045833,https://informo.madrid.es/cameras/Camara18303.jpg?v=39983,ENSANCHE VALLECAS - PEÑARANDA DE BRACAMONTE
-3.69111882683206,40.4789110413546,https://informo.madrid.es/cameras/Camara08316.jpg?v=39983,MONFORTE DE LEMOS - PEDRO RICO
-3.68916470090093,40.4748636501762,https://informo.madrid.es/cameras/Camara08315.jpg?v=39983,MONFORTE DE LEMOS - SINESIO DELGADO
-3.64077197765198,40.4416174030438,https://informo.madrid.es/cameras/Camara15319.jpg?v=39983,ARTURO SORIA - JOSE DEL HIERRO
-3.71403239385324,40.410233366347,https://informo.madrid.es/cameras/Camara01307.jpg?v=39983,BAILEN - SAN FRANCISCO EL GRANDE
-3.68364710588772,40.4067575616644,https://informo.madrid.es/cameras/Camara03313.jpg?v=39983,REINA CRISTNA - J. GAYARRE
-3.71760936339191,40.3850864445122,https://informo.madrid.es/cameras/Camara11302.jpg?v=39983,PLAZA FERNANDEZ LADREDA
-3.66966496355964,40.3984502661488,https://informo.madrid.es/cameras/Camara13301.jpg?v=39983,M30 - PK10+000 C (CIUDAD DE BARCELONA)
