X,Y,Z,description,
-3.70431105084027,40.4386519670048,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara07312.jpg?v=39983  width=300 height=220/><br/>BRAVO MURILLO - JOSE ABASCAL</div>
-3.70399519664177,40.4421976843761,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara07307.jpg?v=39983  width=300 height=220/><br/>JUAN ZORRILLA</div>
-3.68441648165817,40.4208869217821,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara04308.jpg?v=39983  width=300 height=220/><br/>ALCALA - VELAZQUEZ</div>
-3.69383605438619,40.4151876298632,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara01303.jpg?v=39983  width=300 height=220/><br/>NEPTUNO</div>
-3.72412704749693,40.4141769836337,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara10302.jpg?v=39983  width=300 height=220/><br/>PUENTE DE SEGOVIA</div>
-3.71590574066187,40.3978141759504,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara11307.jpg?v=39983  width=300 height=220/><br/>MARQUES DE VADILLO</div>
-3.66416986983818,40.4202318046233,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara04302.jpg?v=39983  width=300 height=220/><br/>TORRE ESPAÑA - M30</div>
-3.66417851341475,40.4202162172987,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara04303.jpg?v=39983  width=300 height=220/><br/>TORRE ESPAÑA - DOCTOR ESQUERDO</div>
-3.66653120075293,40.4057679556986,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara03306.jpg?v=39983  width=300 height=220/><br/>ANTORCHA NORTE</div>
-3.66656152725347,40.4057225773378,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara03307.jpg?v=39983  width=300 height=220/><br/>ANTORCHA SUR</div>
-3.5828908885005,40.4445786103989,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara20308.jpg?v=39983  width=300 height=220/><br/>CAMPEZO - SAMANIEGO</div>
-3.71298613029766,40.4193356999735,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara01308.jpg?v=39983  width=300 height=220/><br/>TUNEL BAILEN</div>
-3.71308334219788,40.4193617577041,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara01309.jpg?v=39983  width=300 height=220/><br/>TUNEL BAILEN III</div>
-3.71306607448308,40.4176798360947,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara01310.jpg?v=39983  width=300 height=220/><br/>TUNEL BAILEN I</div>
-3.71327474163431,40.4175474803144,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara01311.jpg?v=39983  width=300 height=220/><br/>TUNEL BAILEN II</div>
-3.72052884948616,40.4765166846076,0,<div align=center><img src=https://informo.madrid.es/cameras/Camara08317.jpg?v=39983  width=300 height=220/><br/>M30 - PK27+800 D (SALVADOR MAELLA)</div>
