"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;7276;34;"2016-02-19 00:00:00";440439.906952282;4475560.385987308;-3.70216060547914;40.42854877601341
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3452;34;"2018-08-06 00:00:00";440425.451858358;4475564.939269275;-3.70233143276021;40.42858875898241
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;8548;34;"2019-01-30 00:00:00";440399.878902329;4475621.154618513;-3.70263816433985;40.42909334060381
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3449;34;"2018-08-06 00:00:00";440474.583208867;4475639.021918276;-3.7017591955797;40.42925964633657
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3450;34;"2018-08-06 00:00:00";440492.864125837;4475632.189144748;-3.70154305324064;40.42919940152832
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3447;34;"2018-08-06 00:00:00";440417.855478121;4475656.67722218;-3.70242957935501;40.42941463211756
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8174;35;"2018-03-28 00:00:00";440673.615268267;4475522.127461487;-3.69940201670466;40.42822082558266
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8172;35;"2018-03-28 00:00:00";440648.971818006;4475540.562777939;-3.69969424028253;40.4283851415889
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3454;35;"2018-08-02 00:00:00";440662.383704589;4475568.032688636;-3.69953870165873;40.42863355997409
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8109;35;"2018-03-28 00:00:00";440698.124522301;4475548.750260884;-3.69911557962925;40.42846240358468
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8173;35;"2018-03-28 00:00:00";440657.89225558;4475562.656143798;-3.69959114628922;40.4285848051947
